Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1811.65,1817.80,1786.35,1793.15,1797.448960142318607310,94436,3707,169743890.00,53711,56.88,31.45,-18.50
31-July-2024,1799.15,1815.00,1773.15,1806.65,1792.905235800018901805,105810,5769,189707303.00,50042,47.29,41.85,7.50
30-July-2024,1792.05,1806.30,1781.35,1790.30,1794.634689905334866849,226060,10439,405695118.00,165418,73.17,24.95,-1.75
29-July-2024,1820.00,1826.00,1783.10,1795.40,1799.699908354069312902,727801,22947,1309823393.00,124810,17.15,42.90,-24.60
26-July-2024,1768.00,1829.70,1762.00,1814.30,1809.603530195650857108,412725,18103,746868617.00,117315,28.42,67.70,46.30
25-July-2024,1732.35,1779.80,1732.35,1775.30,1758.990259179265658747,46300,4530,81441249.00,18468,39.89,47.45,42.95
24-July-2024,1757.05,1780.60,1729.45,1746.10,1758.468853395539263526,168044,9987,295500140.00,84410,50.23,51.15,-10.95
23-July-2024,1779.40,1780.35,1739.45,1769.35,1759.914224762073196343,180938,7988,318435360.00,99423,54.95,40.90,-10.05
22-July-2024,1822.00,1822.00,1748.85,1757.10,1761.036609308855407753,743636,38952,1309570220.00,316992,42.63,73.15,-64.90
19-July-2024,1815.80,1830.90,1806.55,1821.75,1821.010052079500952474,244626,12999,445466405.00,68810,28.13,24.35,5.95
18-July-2024,1819.90,1831.00,1793.05,1823.10,1811.141604423939565064,93853,7398,169981073.00,28273,30.12,37.95,3.20
16-July-2024,1840.15,1849.15,1801.00,1805.20,1817.670424712677206697,137128,6553,249253510.00,71423,52.08,48.15,-34.95
15-July-2024,1834.35,1857.55,1828.30,1844.15,1844.596599077366223978,765851,34228,1412686150.00,84276,11.00,29.25,9.80
12-July-2024,1835.70,1851.05,1826.05,1833.25,1831.473808407214691410,1209033,14947,2214312273.00,1024289,84.72,25.00,-2.45
11-July-2024,1827.60,1851.60,1821.15,1844.25,1836.374374744545436851,102758,8791,188702158.00,63543,61.84,30.45,16.65
10-July-2024,1835.65,1842.60,1820.40,1831.15,1830.655365769496204278,34776,2061,63662871.00,13564,39.00,22.20,-4.50
9-July-2024,1853.05,1869.65,1830.00,1847.60,1844.397934885681171636,94910,2387,175051808.00,68142,71.80,39.65,-5.45
8-July-2024,1850.05,1856.75,1835.30,1851.95,1850.601292260459486785,270998,9316,501509249.00,41346,15.26,21.45,1.90
5-July-2024,1832.85,1857.95,1818.60,1851.95,1842.689353138143757543,403471,22660,743471716.00,183321,45.44,39.35,19.10
4-July-2024,1806.00,1837.95,1802.35,1834.40,1826.355517085253149386,375470,13651,685741706.00,270749,72.11,35.60,28.40
3-July-2024,1756.45,1814.90,1755.00,1811.60,1796.985541133030226032,369946,18982,664787613.00,170497,46.09,59.90,55.15
2-July-2024,1820.00,1820.50,1736.65,1769.60,1764.643045349091812659,406469,33857,717272694.00,140496,34.56,83.85,-50.40
1-July-2024,1804.95,1813.45,1789.25,1808.75,1803.592717395277432560,437728,24211,789483033.00,53786,12.29,24.20,3.80
28-June-2024,1815.65,1847.50,1799.00,1803.00,1814.274236790547302912,329726,22870,598213387.00,107159,32.50,48.50,-12.65
27-June-2024,1795.50,1837.85,1785.25,1830.80,1816.234174623359268918,92794,5692,168535634.00,27997,30.17,52.60,35.30
26-June-2024,1782.70,1815.70,1776.75,1797.10,1801.201829411741250682,250791,13252,451725208.00,127088,50.67,38.95,14.40
25-June-2024,1773.05,1797.90,1763.50,1782.15,1778.720806670092017375,85636,5158,152322535.00,37175,43.41,34.40,9.10
24-June-2024,1759.35,1775.95,1749.80,1772.40,1768.295991594721817088,723355,28633,1279105747.00,59572,8.24,26.15,13.05
21-June-2024,1765.10,1787.00,1745.50,1773.50,1768.182912163630960809,501421,26236,886604044.00,148823,29.68,41.50,8.40
20-June-2024,1757.00,1789.90,1757.00,1765.05,1774.476367134460395561,217261,11345,385524510.00,100746,46.37,32.90,8.05
19-June-2024,1728.20,1763.00,1716.00,1748.25,1742.559315882964470772,366487,19651,638625336.00,182903,49.91,47.00,20.05
18-June-2024,1717.20,1723.95,1703.50,1719.60,1712.864819816150438318,159587,3810,273350958.00,98799,61.91,20.45,2.40
14-June-2024,1711.15,1735.00,1711.00,1717.00,1717.832841446449210415,662754,25192,1138500587.00,168639,25.45,24.00,5.85
13-June-2024,1730.00,1737.80,1719.05,1726.40,1726.640088507093583235,76830,3104,132657758.00,39853,51.87,18.75,-3.60
12-June-2024,1716.10,1733.90,1711.65,1715.50,1719.940826671094979400,126459,7970,217501997.00,64630,51.11,22.25,-0.60
11-June-2024,1745.30,1745.50,1717.10,1720.30,1729.902895413537111559,137666,6930,238148812.00,101944,74.05,28.40,-25.00
10-June-2024,1759.95,1772.95,1733.30,1745.50,1746.802213637641119731,754324,34335,1317654833.00,133774,17.73,39.65,-14.45
